,ss,sod,sdd,dd,condition_no
56,5,15,41,2,181531028.69417
57,5,15,41,3,21063164.1932574
58,5,15,41,4,7082064.03264961
59,5,15,41,5,5941397.3030894
60,5,15,42,0,91970362.2259943
61,5,15,42,1,17620495.1362907
62,5,15,42,2,179580545.870888
63,5,15,42,3,20025913.6420016
64,5,15,42,4,7139279.00693955
65,5,15,42,5,7169611.94817484
66,5,15,43,0,91970362.2259943
67,5,15,43,1,16679299.426095
68,5,15,43,2,177731336.559691
69,5,15,43,3,21835185.6873345
70,5,15,43,4,7634872.87748062
71,5,15,43,5,6842098.59655902
72,5,15,44,0,91970362.2259943
73,5,15,44,1,17558753.1142204
74,5,15,44,2,178201172.002472
75,5,15,44,3,20558399.9384327
76,5,15,44,4,17071269.2118436
77,5,15,44,5,6899203.7282355
78,5,15,45,0,91970362.2259943
79,5,15,45,1,18068061.8024987
80,5,15,45,2,174509724.326494
81,5,15,45,3,20057871.1163895
82,5,15,45,4,20895863.6177568
83,5,15,45,5,15401464.7964589
84,5,16,32,0,91970362.2259943
85,5,16,32,1,46218340.5907781
86,5,16,32,2,20749025.6333071
87,5,16,32,3,7424385.58821105
88,5,16,32,4,7030804.90301029
89,5,16,32,5,15300675.1789178
90,5,16,33,0,91970362.2259943
91,5,16,33,1,43687485.6797558
92,5,16,33,2,29359073.19327
93,5,16,33,3,7141263.94772698
94,5,16,33,4,7403175.74099378
95,5,16,33,5,20686329.8354731
96,5,16,34,0,91970362.2259943
97,5,16,34,1,42957345.165425
98,5,16,34,2,37278979.4380087
99,5,16,34,3,7473851.63402113
100,5,16,34,4,6672832.89308351
101,5,16,34,5,22738391.7763511
102,5,16,35,0,91970362.2259943
103,5,16,35,1,33736346.9390813
104,5,16,35,2,62263812.1772421
105,5,16,35,3,6609610.57004966
106,5,16,35,4,6836320.73041695
107,5,16,35,5,15877462.4921275
108,5,16,36,0,91970362.2259943
109,5,16,36,1,34585242.6906239
110,5,16,36,2,68630384.1131506
111,5,16,36,3,21905382.4100395
112,5,16,36,4,6808524.09037507
113,5,16,36,5,24490275.6490343
114,5,16,37,0,91970362.2259943
115,5,16,37,1,25414456.035724
116,5,16,37,2,81369615.0702035
117,5,16,37,3,24269404.1059981
118,5,16,37,4,7437169.34616464
119,5,16,37,5,39030317.7847024
120,5,16,38,0,91970362.2259943
121,5,16,38,1,26929591.0393206
122,5,16,38,2,111695203.571641
123,5,16,38,3,25168828.9033583
124,5,16,38,4,7690094.25487422
125,5,16,38,5,6265810.38129545
126,5,16,39,0,91970362.2259943
127,5,16,39,1,26600713.1149741
128,5,16,39,2,152230466.437764
129,5,16,39,3,19394964.7827431
130,5,16,39,4,13934363.517536
131,5,16,39,5,6731901.01048822
132,5,16,40,0,91970362.2259943
133,5,16,40,1,27339276.4267975
134,5,16,40,2,154228848.050349
135,5,16,40,3,19544827.7916995
136,5,16,40,4,15053539.5226168
137,5,16,40,5,7030804.90301029
138,5,16,41,0,91970362.2259943
139,5,16,41,1,26460937.5371053
140,5,16,41,2,169753404.481539
141,5,16,41,3,19377597.5029428
142,5,16,41,4,7662854.81478493
143,5,16,41,5,7028525.11691131
144,5,16,42,0,91970362.2259943
145,5,16,42,1,16489312.1839756
146,5,16,42,2,175135780.732716
147,5,16,42,3,21377287.2801041
148,5,16,42,4,6986987.16906432
149,5,16,42,5,6712433.81352389
150,5,16,43,0,91970362.2259943
151,5,16,43,1,17503371.656407
152,5,16,43,2,185978481.964746
153,5,16,43,3,21531078.0449157
154,5,16,43,4,7218005.35075594
155,5,16,43,5,7939973.98878043
156,5,16,44,0,91970362.2259943
157,5,16,44,1,17751732.6259563
158,5,16,44,2,185789746.487729
159,5,16,44,3,21237015.8710127
160,5,16,44,4,7141263.94772698
161,5,16,44,5,6424441.83808795
162,5,16,45,0,91970362.2259943
163,5,16,45,1,16539722.4998111
164,5,16,45,2,183945389.126263
165,5,16,45,3,22326166.431085
166,5,16,45,4,7553781.38666781
167,5,16,45,5,6808524.09037507
168,5,17,32,0,91970362.2259943
169,5,17,32,1,62405733.570719
170,5,17,32,2,20983874.3001641
171,5,17,32,3,13992125.3469927
172,5,17,32,4,39041114.5149609
173,5,17,32,5,8511183.84177699
174,5,17,33,0,91970362.2259943
175,5,17,33,1,50316587.1414282
176,5,17,33,2,18915093.9014943
177,5,17,33,3,8030634.63530009
178,5,17,33,4,6822967.15054352
179,5,17,33,5,7324218.55787712
180,5,17,34,0,91970362.2259943
181,5,17,34,1,45230025.2300194
182,5,17,34,2,19105959.0375795
183,5,17,34,3,7318531.1916564
184,5,17,34,4,7716091.68068983
185,5,17,34,5,17118729.518378
186,5,17,35,0,91970362.2259943
187,5,17,35,1,43847986.6835551
188,5,17,35,2,27848385.6628063
189,5,17,35,3,7047944.14465011
190,5,17,35,4,6754915.23253285
191,5,17,35,5,20011111.7604437
192,5,17,36,0,91970362.2259943
193,5,17,36,1,43004128.0042828
194,5,17,36,2,36875957.6327517
195,5,17,36,3,6641989.03221026
196,5,17,36,4,7702557.15123557
197,5,17,36,5,20703508.5686504
198,5,17,37,0,91970362.2259943
199,5,17,37,1,43526788.1213864
200,5,17,37,2,51107354.2097743
201,5,17,37,3,7213731.02325051
202,5,17,37,4,6424955.28736378
203,5,17,37,5,22495008.7798954
204,5,17,38,0,91970362.2259943
205,5,17,38,1,33634363.4732604
206,5,17,38,2,68063701.9058246
207,5,17,38,3,14151636.854456
208,5,17,38,4,7046255.25489479
209,5,17,38,5,23648451.2405801
210,5,17,39,0,91970362.2259943
211,5,17,39,1,26581546.3941058
212,5,17,39,2,73133522.7534776
213,5,17,39,3,27300028.2834713
214,5,17,39,4,6883084.91720627
215,5,17,39,5,31150689.2052608
216,5,17,40,0,91970362.2259943
217,5,17,40,1,25206627.6683081
218,5,17,40,2,96346039.7900973
219,5,17,40,3,34746646.4395522
220,5,17,40,4,6955131.35632672
221,5,17,40,5,39041114.5149609
222,5,17,41,0,91970362.2259943
223,5,17,41,1,25683110.4487678
224,5,17,41,2,156560493.355777
225,5,17,41,3,28309985.1527439
226,5,17,41,4,13873443.5568891
227,5,17,41,5,7229058.16666194
228,5,17,42,0,91970362.2259943
229,5,17,42,1,26527130.5957791
230,5,17,42,2,157543120.843568
231,5,17,42,3,20581330.8406075
232,5,17,42,4,15504153.0365451
233,5,17,42,5,6915517.24734047
234,5,17,43,0,91970362.2259943
235,5,17,43,1,26457646.9016696
236,5,17,43,2,159811985.219502
237,5,17,43,3,17819531.3724416
238,5,17,43,4,14608942.3218429
239,5,17,43,5,7086745.18211611
240,5,17,44,0,91970362.2259943
241,5,17,44,1,17793699.140434
242,5,17,44,2,167748502.23672
243,5,17,44,3,18462734.5195043
244,5,17,44,4,8030634.63530009
245,5,17,44,5,7147899.05531396
246,5,17,45,0,91970362.2259943
247,5,17,45,1,17337632.5314071
248,5,17,45,2,185587383.480448
249,5,17,45,3,20997043.3396164
250,5,17,45,4,7363989.15416897
251,5,17,45,5,7702557.15123557
252,5,18,32,0,91970362.2259943
253,5,18,32,1,83566257.364687
254,5,18,32,2,20930794.2586424
255,5,18,32,3,7094480.20918558
256,5,18,32,4,23382517.2869635
257,5,18,32,5,9458985.52493637
258,5,18,33,0,91970362.2259943
259,5,18,33,1,71924470.9473966
260,5,18,33,2,22274064.6136538
261,5,18,33,3,14946867.4304165
262,5,18,33,4,30980552.3401599
263,5,18,33,5,8848437.99691991
264,5,18,34,0,91970362.2259943
265,5,18,34,1,60699516.7384016
266,5,18,34,2,19470021.9471663
267,5,18,34,3,14186936.3006805
268,5,18,34,4,7166120.17047923
269,5,18,34,5,8991647.17197225
270,5,18,35,0,91970362.2259943
271,5,18,35,1,51852925.9841298
272,5,18,35,2,19257272.8616688
273,5,18,35,3,7903117.66766552
274,5,18,35,4,7185796.73816378
275,5,18,35,5,8639017.07401471
276,5,18,36,0,91970362.2259943
277,5,18,36,1,45224194.4725623
278,5,18,36,2,21356078.8811417
279,5,18,36,3,7404338.24106921
280,5,18,36,4,7347883.94173727
281,5,18,36,5,15716048.9852969
282,5,18,37,0,91970362.2259943
283,5,18,37,1,43075691.6642295
284,5,18,37,2,27787008.9921963
285,5,18,37,3,6649468.1022721
286,5,18,37,4,7290011.60645202
287,5,18,37,5,29232408.1369563
288,5,18,38,0,91970362.2259943
289,5,18,38,1,42549580.1637577
290,5,18,38,2,36788941.0944039
291,5,18,38,3,6954109.93987194
292,5,18,38,4,7543506.38961294
293,5,18,38,5,21686097.6147955
294,5,18,39,0,91970362.2259943
295,5,18,39,1,40696920.3863018
296,5,18,39,2,53884250.3070607
297,5,18,39,3,6867160.6709544
298,5,18,39,4,6633363.11037265
299,5,18,39,5,22360297.5914678
300,5,18,40,0,91970362.2259943
301,5,18,40,1,34790567.1510476
302,5,18,40,2,69260847.1480533
303,5,18,40,3,15243055.2337498
304,5,18,40,4,7488082.62352735
305,5,18,40,5,23382517.2869635
306,5,18,41,0,91970362.2259943
307,5,18,41,1,35527017.9561266
308,5,18,41,2,73714759.5450535
309,5,18,41,3,27459211.4667144
310,5,18,41,4,6838095.31151918
311,5,18,41,5,33540950.1155458
312,5,18,42,0,91970362.2259943
313,5,18,42,1,26358287.3119948
314,5,18,42,2,85512680.1403901
315,5,18,42,3,34327352.9524725
316,5,18,42,4,7174079.10254087
317,5,18,42,5,36217548.8355014
318,5,18,43,0,91970362.2259943
319,5,18,43,1,25153254.181909
320,5,18,43,2,119371800.60092
321,5,18,43,3,19470544.3142576
322,5,18,43,4,7046075.43207824
323,5,18,43,5,7334785.7148336
324,5,18,44,0,91970362.2259943
325,5,18,44,1,27749730.0481615
326,5,18,44,2,150984817.544276
327,5,18,44,3,27982989.1195011
328,5,18,44,4,14946867.4304165
329,5,18,44,5,7613962.5811941
330,5,18,45,0,91970362.2259943
331,5,18,45,1,26448450.0960859
332,5,18,45,2,159668487.20598
333,5,18,45,3,17123067.9041843
334,5,18,45,4,14730997.2988811
335,5,18,45,5,7347883.94173727
336,5,19,32,0,91970362.2259943
337,5,19,32,1,121008396.654799
338,5,19,32,2,16577717.7294436
339,5,19,32,3,6845086.33313962
340,5,19,32,4,24638628.9649051
341,5,19,32,5,19811997.4406828
342,5,19,33,0,91970362.2259943
343,5,19,33,1,99832315.2917222
344,5,19,33,2,21483597.1450488
345,5,19,33,3,7009862.04089422
346,5,19,33,4,26041541.6860484
347,5,19,33,5,10276435.970154
348,5,19,34,0,91970362.2259943
349,5,19,34,1,83074280.1622055
350,5,19,34,2,20280893.929074
351,5,19,34,3,7007438.53690434
352,5,19,34,4,26150775.8583212
353,5,19,34,5,8571658.5629138
354,5,19,35,0,91970362.2259943
355,5,19,35,1,73605589.776694
356,5,19,35,2,19267103.4135825
357,5,19,35,3,14968677.1284115
358,5,19,35,4,32421909.4217906
359,5,19,35,5,8573573.75381343
360,5,19,36,0,91970362.2259943
361,5,19,36,1,61096875.3034277
362,5,19,36,2,19051971.1629385
363,5,19,36,3,14528365.1040531
364,5,19,36,4,7887640.45189734
365,5,19,36,5,8857805.28681619
366,5,19,37,0,91970362.2259943
367,5,19,37,1,50969405.2883303
368,5,19,37,2,19617865.8541787
369,5,19,37,3,7232471.38126082
370,5,19,37,4,7536585.16618254
371,5,19,37,5,28651607.5602344
372,5,19,38,0,91970362.2259943
373,5,19,38,1,44993788.6279326
374,5,19,38,2,19476817.2244362
375,5,19,38,3,7615229.90898087
376,5,19,38,4,7478056.61798018
377,5,19,38,5,15388403.755946
378,5,19,39,0,91970362.2259943
379,5,19,39,1,44317225.1488489
380,5,19,39,2,27185392.6478363
381,5,19,39,3,6837141.63725265
382,5,19,39,4,6305754.32722077
383,5,19,39,5,40253483.1564188
384,5,19,40,0,91970362.2259943
385,5,19,40,1,42511186.7506847
386,5,19,40,2,38073918.1548803
387,5,19,40,3,7078467.06228077
388,5,19,40,4,7821565.24705441
389,5,19,40,5,24638628.9649051
390,5,19,41,0,91970362.2259943
391,5,19,41,1,41428676.6454637
392,5,19,41,2,52341885.9376727
393,5,19,41,3,7624591.53612856
394,5,19,41,4,7162319.96414662
395,5,19,41,5,23883843.87929
396,5,19,42,0,91970362.2259943
397,5,19,42,1,34543515.0701446
398,5,19,42,2,61631420.2957399
399,5,19,42,3,15412421.9347328
400,5,19,42,4,7583261.96468696
401,5,19,42,5,22784767.1450932
402,5,19,43,0,91970362.2259943
403,5,19,43,1,34588704.3603556
404,5,19,43,2,70765504.4943903
405,5,19,43,3,31238080.4434432
406,5,19,43,4,6934570.2996744
407,5,19,43,5,23332455.9509836
408,5,19,44,0,91970362.2259943
409,5,19,44,1,25936038.2140706
410,5,19,44,2,79631724.5420442
411,5,19,44,3,33055041.7891179
412,5,19,44,4,7009862.04089422
413,5,19,44,5,32081227.7707377
414,5,19,45,0,91970362.2259943
415,5,19,45,1,25619627.0797207
416,5,19,45,2,108347446.13859
417,5,19,45,3,27318622.8032197
418,5,19,45,4,6447110.0612408
419,5,19,45,5,7887640.45189734
420,5,20,32,0,91970362.2259943
421,5,20,32,1,175060342.623748
422,5,20,32,2,27285085.8939585
423,5,20,32,3,6684391.59354941
424,5,20,32,4,16184488.308182
425,5,20,32,5,14747658.6167934
426,5,20,33,0,91970362.2259943
427,5,20,33,1,143553243.014512
428,5,20,33,2,25398080.3799838
429,5,20,33,3,7521840.78442788
430,5,20,33,4,39875900.7390199
431,5,20,33,5,17616026.8237756
432,5,20,34,0,91970362.2259943
433,5,20,34,1,107436514.513872
434,5,20,34,2,20023463.1838025
435,5,20,34,3,6914715.38123256
436,5,20,34,4,25003302.6748115
437,5,20,34,5,17813388.495122
438,5,20,35,0,91970362.2259943
439,5,20,35,1,91936517.4068255
440,5,20,35,2,20492758.7301245
441,5,20,35,3,6790884.20585996
442,5,20,35,4,22222773.4066132
443,5,20,35,5,9127602.94568053
444,5,20,36,0,91970362.2259943
445,5,20,36,1,78980647.5587297
446,5,20,36,2,21284168.1081005
447,5,20,36,3,15351764.9478329
448,5,20,36,4,22241455.5341195
